province,region_code,typology,office,office_no
Eastern Cape,C0020000,Rural,SGELN,8
Eastern Cape,C1180002,Urban,SGELN,8
Eastern Cape,C0380019,Urban,SGELN,8
Eastern Cape,C1030005,Urban,SGELN,8
Eastern Cape,C1180004,Urban,SGELN,8
Eastern Cape,C0620041,Urban,SGELN,8
Eastern Cape,C1170015,Urban,SGELN,8
Eastern Cape,C0460002,Urban,SGELN,8
Eastern Cape,C0920000,Rural,SGELN,8
Eastern Cape,C0620006,Urban,SGELN,8
Eastern Cape,C0590030,Urban,SGELN,8
Eastern Cape,C0710006,Urban,SGELN,8
Eastern Cape,C0910026,Urban,SGELN,8
Eastern Cape,C0380005,Urban,SGELN,8
Eastern Cape,C0770005,Urban,SGELN,8
Eastern Cape,C0660003,Urban,SGELN,8
Eastern Cape,C1140043,Urban,SGELN,8
Eastern Cape,C0340020,Urban,SGELN,8
Eastern Cape,C0590006,Urban,SGELN,8
Eastern Cape,C0160014,Urban,SGELN,8
Eastern Cape,C1090009,Urban,SGELN,8
Eastern Cape,C0730001,Urban,SGELN,8
Eastern Cape,C0590005,Urban,SGELN,8
Eastern Cape,C0140001,Urban,SGELN,8
Eastern Cape,C1130020,Urban,SGELN,8
Eastern Cape,C0400004,Urban,SGELN,8
Eastern Cape,C0760014,Urban,SGELN,8
Eastern Cape,C1140074,Urban,SGELN,8
Eastern Cape,C0910009,Urban,SGELN,8
Eastern Cape,C0340021,Urban,SGELN,8
Eastern Cape,C0130012,Urban,SGELN,8
Eastern Cape,C0510009,Urban,SGELN,8
Eastern Cape,C0840003,Urban,SGELN,8
Eastern Cape,C0520001,Urban,SGELN,8
Eastern Cape,C0380018,Urban,SGELN,8
Eastern Cape,C0340016,Urban,SGELN,8
Eastern Cape,C0230002,Urban,SGELN,8
Eastern Cape,C1130015,Urban,SGELN,8
Eastern Cape,C1140011,Urban,SGELN,8
Eastern Cape,C0550010,Urban,SGELN,8
Eastern Cape,C0860000,Rural,SGELN,8
Eastern Cape,C1140028,Urban,SGELN,8
Eastern Cape,C0770004,Urban,SGELN,8
Eastern Cape,C1100014,Urban,SGELN,8
